iteration,type,step,episode_return,num_episodes,step_rate,duration
0,Agent57-actor3,500000,-20.838915470494417,627,54.97576465414065,9094.916699123005
0,Agent57-actor4,500000,-20.776527331189712,622,54.94679822446678,9099.711287224
0,Agent57-actor0,500000,-20.700331125827816,604,54.920016611290286,9104.148739409004
0,Agent57-actor1,500000,-20.765372168284788,618,54.915202446864576,9104.946858455001
0,Agent57-actor7,500000,-20.78972712680578,623,54.9292663335615,9102.615661453001
0,Agent57-actor5,500000,-20.807692307692307,624,54.916732572204,9104.693170567
0,Agent57-actor2,500000,-20.779032258064515,620,54.898590370688844,9107.701976023
0,Agent57-actor6,500000,-20.74313408723748,619,54.905713737914006,9106.520359368998
iteration,type,step,episode_return,num_episodes,step_rate,duration
0,Agent57-actor3,500000,-20.91679748822606,637,60.76349557251448,8228.624691338002
0,Agent57-actor1,500000,-20.846275752773376,631,60.740644398183136,8231.720373631004
0,Agent57-actor2,500000,-20.895734597156398,633,60.74546130154368,8231.067626896001
0,Agent57-actor0,500000,-20.783171521035598,618,60.72877192004184,8233.329675401998
0,Agent57-actor4,500000,-20.940532081377153,639,60.730775663617386,8233.058025958002
0,Agent57-actor6,500000,-20.892744479495267,634,60.72392166499765,8233.987303363
0,Agent57-actor7,500000,-20.932917316692667,641,60.727854678060346,8233.454032761001
0,Agent57-actor5,500000,-20.932707355242567,639,60.71234269563043,8235.557677401004
0,evaluation,20000,-21.0,26,482.21435704444775,41.47533085199393
1,Agent57-actor0,500000,-20.996946564885498,655,61.06720758837601,8187.700400028996
1,Agent57-actor3,500000,-20.995419847328243,655,61.02515134853894,8193.343055297002
1,Agent57-actor1,500000,-20.99236641221374,655,61.012952584245,8194.981210090002
1,Agent57-actor2,500000,-21.0,656,60.999375294743444,8196.805255530002
1,Agent57-actor6,500000,-20.993893129770992,655,60.99210650440789,8197.782117328003
1,Agent57-actor7,500000,-20.99847328244275,655,60.963907133153036,8201.574070834002
1,Agent57-actor4,500000,-20.995419847328243,655,60.963858642202695,8201.580594405998
1,Agent57-actor5,500000,-21.0,656,60.960700922973295,8202.005430215992
1,evaluation,20000,-21.0,26,447.8902283167612,44.65379848799785
2,Agent57-actor3,500000,-20.868954758190327,641,60.879400007962126,8212.958733735999
2,Agent57-actor2,500000,-20.809748427672957,636,60.87464854406957,8213.599781821002
2,Agent57-actor6,500000,-20.80188679245283,636,60.83897896583766,8218.415372828007
2,Agent57-actor4,500000,-20.86427457098284,641,60.83208358100335,8219.346939418989
2,Agent57-actor1,500000,-20.820472440944883,635,60.83043580723041,8219.569584944009
2,Agent57-actor0,500000,-20.75801282051282,624,60.82593475448441,8220.177824116996
2,Agent57-actor7,500000,-20.891304347826086,644,60.822175036330876,8220.685953787994
2,Agent57-actor5,500000,-20.861370716510905,642,60.81884425956737,8221.136164081996
2,evaluation,20000,-21.0,26,470.52221124116755,42.50596363398654
3,Agent57-actor3,500000,-19.567010309278352,485,60.67234914232782,8240.986331798005
3,Agent57-actor2,500000,-19.561728395061728,486,60.6349379283815,8246.070946598004
3,Agent57-actor1,500000,-19.5439672801636,489,60.616585584152325,8248.567536122006
3,Agent57-actor4,500000,-19.58298755186722,482,60.6155631379717,8248.706670627012
3,Agent57-actor6,500000,-19.595092024539877,489,60.615308250325455,8248.741356475992
3,Agent57-actor7,500000,-19.471816283924845,479,60.608741837048505,8249.635033578
3,Agent57-actor0,500000,-19.59016393442623,488,60.607114476580634,8249.856544369992
3,Agent57-actor5,500000,-19.43578947368421,475,60.60384573051872,8250.301510951991
3,evaluation,20000,-17.214285714285715,14,437.94169371542364,45.66817977599567
